# Average-time for sorting 2^11=2048 items, using 4 threads and 300 rounds (best at c=1)
#
#  c     SSqs     POqs  speedup
   1  0.00013  0.00019     0.71
   2  0.00014  0.00019     0.71
   3  0.00013  0.00021     0.64
   4  0.00013  0.00025     0.52
   5  0.00013  0.00034     0.39
   6  0.00013  0.00052     0.25
   7  0.00013  0.00087     0.15
   8  0.00014  0.00148     0.09
   9  0.00014  0.00248     0.05
  10  0.00014  0.00387     0.03
  11  0.00014  0.00573     0.02

# Total elapsed time:  5.40s

