# Average-time for sorting 2^14=16384 items, using 4 threads and 300 rounds (best at c=3)
#
#  c     SSqs     POqs  speedup
   1  0.00124  0.00082     1.51
   2  0.00120  0.00069     1.73
   3  0.00121  0.00068     1.77
   4  0.00121  0.00071     1.70
   5  0.00121  0.00079     1.53
   6  0.00121  0.00097     1.24
   7  0.00121  0.00135     0.89
   8  0.00124  0.00209     0.59
   9  0.00126  0.00349     0.36
  10  0.00127  0.00599     0.21
  11  0.00129  0.01047     0.12
  12  0.00140  0.01846     0.08
  13  0.00136  0.02986     0.05
  14  0.00137  0.04651     0.03

# Total elapsed time: 43.38s

