# Average-time for sorting 2^16=65536 items, using 4 threads and 300 rounds (best at c=4)
#
#  c     SSqs     POqs  speedup
   1  0.00621  0.00340     1.83
   2  0.00628  0.00271     2.31
   3  0.00627  0.00258     2.43
   4  0.00625  0.00253     2.47
   5  0.00623  0.00262     2.38
   6  0.00627  0.00282     2.22
   7  0.00626  0.00324     1.93
   8  0.00631  0.00414     1.52
   9  0.00635  0.00589     1.08
  10  0.00643  0.00904     0.71
  11  0.00656  0.01505     0.44
  12  0.00671  0.02639     0.25
  13  0.00680  0.04732     0.14
  14  0.00686  0.08163     0.08
  15  0.00690  0.13429     0.05
  16  0.00690  0.20690     0.03

# Total elapsed time: 202.79s
# 4  0.00623  0.00255     2.44

