# Average-time for sorting 2^22=4194304 items, using 4 threads and 300 rounds (best at c=7)
#
#  c     SSqs     POqs  speedup
   1  0.49405  0.26218     1.88
   2  0.48985  0.20820     2.35
   3  0.48994  0.19738     2.48
   4  0.49239  0.19086     2.58
   5  0.48728  0.18600     2.62
   6  0.48698  0.18465     2.64
   7  0.48765  0.18439     2.64
   8  0.48629  0.18499     2.63
   9  0.48575  0.18674     2.60
  10  0.48610  0.18946     2.57
  11  0.48737  0.19657     2.48
  12  0.49326  0.21207     2.33
  13  0.49390  0.23834     2.07
  14  0.51119  0.31449     1.63
  15  0.50106  0.39879     1.26
  16  0.50424  0.60167     0.84
  17  0.50883  0.99173     0.51
  18  0.50704  1.72404     0.29
  19  0.51158  3.06879     0.17
  20  0.50787  5.24185     0.10
  21  0.51495  8.85545     0.06
  22  0.53085 14.28724     0.04

# Total elapsed time: 15981.37s


# Average-time for sorting 2^22=4194304 items, using 4 threads and 500 rounds (best at c=7)
#
#  c     SSqs     POqs  speedup
#   1  0.47931  0.25674     1.87
#   2  0.47800  0.20233     2.36
#   3  0.47673  0.19096     2.50
#   4  0.47677  0.18492     2.58
#   5  0.47617  0.18182     2.62
#   6  0.47320  0.17969     2.63
#   7  0.47152  0.17907     2.63
#   8  0.47095  0.17933     2.63
#   9  0.47268  0.18143     2.61
#  10  0.48216  0.18878     2.55
#  11  0.47473  0.19176     2.48
#  12  0.47419  0.20427     2.32
#  13  0.47786  0.23132     2.07
#  14  0.48297  0.28302     1.71
#  15  0.48957  0.38616     1.27
#  16  0.49067  0.57720     0.85
#  17  0.49995  0.96119     0.52
#  18  0.50266  1.67458     0.30
#  19  0.51031  3.02923     0.17

