# Average-time for sorting 2^12=4096 items, using 4 threads and 300 rounds (best at c=2)
#
#  c     SSqs     POqs  speedup
   1  0.00029  0.00028     1.03
   2  0.00030  0.00028     1.05
   3  0.00029  0.00029     1.00
   4  0.00029  0.00033     0.86
   5  0.00028  0.00042     0.66
   6  0.00028  0.00059     0.48
   7  0.00028  0.00095     0.30
   8  0.00028  0.00164     0.17
   9  0.00028  0.00278     0.10
  10  0.00028  0.00462     0.06
  11  0.00028  0.00730     0.04
  12  0.00028  0.01098     0.03

# Total elapsed time: 10.43s

