# Average-time for sorting 2^23=8388608 items, using 4 threads and 300 rounds (best at c=7)
#
#  c     SSqs     POqs  speedup
   1  0.93366  0.50006     1.87
   2  0.96338  0.41433     2.33
   3  0.96632  0.39138     2.47
   4  0.97106  0.38021     2.55
   5  1.00019  0.38688     2.59
   6  1.00117  0.38170     2.62
   7  0.99651  0.37987     2.62
   8  0.99137  0.37809     2.62
   9  0.99267  0.38186     2.60
  10  0.98520  0.38074     2.59
  11  0.98000  0.38755     2.53
  12  0.98752  0.40113     2.46
  13  0.98707  0.42774     2.31
  14  0.98941  0.48070     2.06
  15  0.99423  0.58476     1.70
  16  1.00306  0.78519     1.28
  17  1.01578  1.18445     0.86
  18  1.02070  1.93779     0.53
  19  1.03275  3.38936     0.30
  20  1.03859  6.02168     0.17
  21  1.05036 10.45427     0.10
  22  1.04327 17.09091     0.06
  23  1.08118 27.74542     0.04

# Total elapsed time: 32396.58s


