# Average-time for sorting 2^17=131072 items, using 4 threads and 300 rounds (best at c=4)
#
#  c     SSqs     POqs  speedup
   1  0.01306  0.00697     1.87
   2  0.01313  0.00540     2.43
   3  0.01305  0.00510     2.56
   4  0.01305  0.00499     2.61
   5  0.01300  0.00501     2.60
   6  0.01302  0.00519     2.51
   7  0.01302  0.00559     2.33
   8  0.01312  0.00647     2.03
   9  0.01328  0.00815     1.63
  10  0.01353  0.01133     1.19
  11  0.01393  0.01744     0.80
  12  0.01430  0.02929     0.49
  13  0.01483  0.05562     0.27
  14  0.01481  0.09337     0.16
  15  0.01497  0.16271     0.09
  16  0.01501  0.26928     0.06
  17  0.01504  0.41429     0.04

# Total elapsed time: 417.07s

