# Average-time for sorting 2^20=1048576 items, using 4 threads and 300 rounds (best at c=6)
#
#  c     SSqs     POqs  speedup
   1  0.11389  0.06063     1.88
   2  0.11293  0.04698     2.40
   3  0.11266  0.04437     2.54
   4  0.11233  0.04294     2.62
   5  0.11247  0.04237     2.65
   6  0.11225  0.04225     2.66
   7  0.11229  0.04250     2.64
   8  0.11212  0.04307     2.60
   9  0.11258  0.04496     2.50
  10  0.11300  0.04825     2.34
  11  0.11340  0.05430     2.09
  12  0.11428  0.06678     1.71
  13  0.11572  0.09121     1.27
  14  0.11704  0.13959     0.84
  15  0.11880  0.23359     0.51
  16  0.12050  0.41379     0.29
  17  0.12245  0.74677     0.16
  18  0.12376  1.30690     0.09
  19  0.12419  2.15178     0.06
  20  0.12569  3.32192     0.04

# Total elapsed time: 3576.12s
