# Average-time for sorting 2^10=1024 items, using 4 threads and 300 rounds (best at c=1)
#
#  c     SSqs     POqs  speedup
   1  0.00007  0.00016     0.42
   2  0.00006  0.00017     0.39
   3  0.00006  0.00019     0.33
   4  0.00006  0.00023     0.27
   5  0.00006  0.00031     0.20
   6  0.00006  0.00048     0.13
   7  0.00006  0.00080     0.08
   8  0.00006  0.00132     0.05
   9  0.00006  0.00210     0.03
  10  0.00006  0.00308     0.02

# Total elapsed time:  2.89s


