# Average-time for sorting 2^18=262144 items, using 4 threads and 300 rounds (best at c=5)
#
#  c     SSqs     POqs  speedup
   1  0.02708  0.01431     1.89
   2  0.02695  0.01100     2.45
   3  0.02686  0.01034     2.60
   4  0.02702  0.01023     2.64
   5  0.02691  0.01013     2.66
   6  0.02689  0.01010     2.66
   7  0.02687  0.01042     2.58
   8  0.02694  0.01129     2.39
   9  0.02712  0.01301     2.08
  10  0.02749  0.01619     1.70
  11  0.02787  0.02232     1.25
  12  0.02900  0.03464     0.84
  13  0.02996  0.05832     0.51
  14  0.03067  0.10377     0.30
  15  0.03102  0.18915     0.16
  16  0.03119  0.32707     0.10
  17  0.03095  0.52918     0.06
  18  0.03111  0.81652     0.04

# Total elapsed time: 847.75s

