# Average-time for sorting 2^19=524288 items, using 4 threads and 300 rounds (best at c=6)
#
#  c     SSqs     POqs  speedup
   1  0.05550  0.02903     1.91
   2  0.05502  0.02290     2.40
   3  0.05450  0.02144     2.54
   4  0.05440  0.02068     2.63
   5  0.05433  0.02044     2.66
   6  0.05421  0.02043     2.65
   7  0.05429  0.02075     2.62
   8  0.05425  0.02153     2.52
   9  0.05462  0.02326     2.35
  10  0.05482  0.02627     2.09
  11  0.05550  0.03258     1.70
  12  0.05669  0.04503     1.26
  13  0.05792  0.06929     0.84
  14  0.05900  0.11633     0.51
  15  0.06003  0.20652     0.29
  16  0.06061  0.36914     0.16
  17  0.06159  0.68310     0.09
  18  0.06121  1.06131     0.06
  19  0.06128  1.63608     0.04

# Total elapsed time: 1737.86s

