# Average-time for sorting 2^15=32768 items, using 4 threads and 300 rounds (best at c=3)
#
#  c     SSqs     POqs  speedup
   1  0.00270  0.00156     1.74
   2  0.00267  0.00125     2.14
   3  0.00266  0.00121     2.21
   4  0.00266  0.00122     2.18
   5  0.00266  0.00130     2.04
   6  0.00266  0.00149     1.79
   7  0.00267  0.00188     1.42
   8  0.00270  0.00268     1.01
   9  0.00273  0.00424     0.65
  10  0.00278  0.00709     0.39
  11  0.00283  0.01231     0.23
  12  0.00294  0.02210     0.13
  13  0.00296  0.03795     0.08
  14  0.00299  0.06392     0.05
  15  0.00303  0.09877     0.03

# Total elapsed time: 92.87s
