# Average-time for sorting 2^13=8192 items, using 4 threads and 300 rounds (best at c=2)
#
#  c     SSqs     POqs  speedup
   1  0.00060  0.00047     1.29
   2  0.00059  0.00043     1.38
   3  0.00059  0.00043     1.35
   4  0.00058  0.00047     1.25
   5  0.00058  0.00055     1.07
   6  0.00058  0.00074     0.79
   7  0.00059  0.00109     0.54
   8  0.00059  0.00181     0.33
   9  0.00059  0.00308     0.19
  10  0.00059  0.00522     0.11
  11  0.00059  0.00875     0.07
  12  0.00059  0.01408     0.04
  13  0.00061  0.02181     0.03

# Total elapsed time: 20.52s

